name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",1952,"
€708
",Chateau Cheval Blanc,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,11 - 15%
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",1950,"
€1,716
",Chateau Cheval Blanc,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,11 - 15%
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2005,"
€22,903
",Domaine de la Romanee-Conti,Romanee-Conti,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Chateau d'Yquem, Sauternes, France",1831,"
€77,938
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France",1961,"
€3,461
",Chateau Cheval Blanc,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,11 - 15%
"Chateau d'Yquem, Sauternes, France",1921,"
€7,560
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Chateau d'Yquem, Sauternes, France",1955,"
€1,191
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Chateau d'Yquem, Sauternes, France",1975,"
€818
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Chateau Mouton Rothschild, Pauillac, France",1961,"
€2,471
",Chateau Mouton Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",1966,"
€16,723
",Domaine de la Romanee-Conti,Romanee-Conti,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Chateau Latour, Pauillac, France",1945,"
€4,149
",Chateau Latour,Pauillac,"
France
",Cabernet Sauvignon - Merlot,Beef and Venison,Red - Savory and Classic,12 - 14%
